ID,板温,现场温度,光照强度,转换效率,转换效率A,转换效率B,转换效率C,电压A,电压B,电压C,电流A,电流B,电流C,功率A,功率B,功率C,平均功率,风速,风向,发电量
10,-19.14,-17.4,34,80.55,106.32,16.98,118.36,729,709,725,1.34,0.22,1.5,976.86,155.98,1087.5,740.11,0.6,272,1.437751581
11,-18.73,-17.3,30,99.9,139.0,21.2,139.51,728,717,726,1.55,0.24,1.56,1128.4,172.08,1132.56,811.01,0.8,275,1.692574814
12,-17.54,-17.0,41,82.48,114.86,14.91,117.66,731,722,720,1.75,0.23,1.82,1279.25,166.06,1310.4,918.57,1.1,283,1.975787459
14,-15.43,-16.6,53,73.98,101.72,15.55,104.67,730,727,726,2.02,0.31,2.09,1474.6,225.37,1517.34,1072.44,0.9,280,2.370655595
15,-14.6,-16.3,65,64.62,86.86,13.09,93.92,727,729,728,2.13,0.32,2.3,1548.51,233.28,1674.4,1152.06,1.1,280,2.532091305
16,-14.1,-16.2,76,61.97,77.59,25.8,82.53,733,728,724,2.21,0.74,2.38,1619.93,538.72,1723.12,1293.92,0.9,278,2.779719016
19,-11.25,-15.9,96,71.51,70.09,70.09,74.35,726,726,725,2.57,2.57,2.73,1865.82,1865.82,1979.25,1903.63,1.5,277,3.832377845
20,-10.77,-15.8,100,70.04,69.27,68.43,72.42,726,720,721,2.65,2.64,2.79,1923.9,1900.8,2011.59,1945.43,1.5,281,3.956691872
22,-10.77,-15.8,100,5699.37,16924.86,162.65,10.59,65382,7,107,7.19,645.39,2.75,470096.58,4517.73,294.25,158302.85,1.5,281,5.440740511
24,-8.33,-14.7,122,63.99,62.47,62.96,66.53,721,717,717,2.96,3.0,3.17,2134.16,2151.0,2272.89,2186.02,0.7,278,4.501339205
27,-5.52,-13.9,142,60.63,59.86,59.86,62.17,713,713,709,3.37,3.37,3.52,2402.81,2402.81,2495.68,2433.77,0.0,265,5.135805356
30,-4.6,-13.9,159,58.79,58.41,58.65,59.33,706,707,704,3.73,3.74,3.8,2633.38,2644.18,2675.2,2650.92,1.2,276,5.632253547
34,-3.7,-13.4,187,55.68,54.59,55.25,57.2,703,703,701,4.13,4.18,4.34,2903.39,2938.54,3042.34,2961.42,1.8,282,6.240379858
35,-3.79,-13.1,189,55.75,55.28,55.04,56.92,704,701,700,4.22,4.22,4.37,2970.88,2958.22,3059.0,2996.03,1.8,283,6.32529002
39,-2.85,-12.0,213,53.92,53.38,53.61,54.79,702,699,695,4.62,4.66,4.79,3243.24,3257.34,3329.05,3276.54,1.2,279,6.893458775
42,-1.23,-11.4,229,52.03,51.06,51.89,53.15,693,690,690,4.84,4.94,5.06,3354.12,3408.6,3491.4,3418.04,0.5,268,7.194232037
43,0.02,-11.5,233,52.06,51.72,52.2,52.27,693,687,688,5.01,5.1,5.1,3471.93,3503.7,3508.8,3494.81,1.5,281,7.409266423
44,0.12,-11.0,243,50.67,50.0,50.35,51.65,692,686,689,5.06,5.14,5.25,3501.52,3526.04,3617.25,3548.27,1.1,278,7.486756185
45,0.14,-10.8,245,50.65,49.84,50.35,51.76,690,685,687,5.1,5.19,5.32,3519.0,3555.15,3654.84,3576.33,1.4,279,7.524506052
